time,uid,antname,padname,statnum,poserrX,poserrY,poserrZ,poserr()X,poserr()Y,poserr()Z,newposX,newposY,newposZ,geoerrX,geoerrY,geoerrZ,geoposX,geoposY,geoposZ,delayrms
5131848671952000000,uid___A002_Xed4607_X13266,DA49,A033,Station_8,-0.000303,-1.4000000000000001e-05,-0.000528,3.2e-05,5.9999999999999995e-05,0.000136,-0.000436,0.0007610000000000001,7.497833,-0.00046699999999999997,0.00033999999999999997,0.000193,2224995.2237279997,-5440073.176024,-2481713.361151,0.28
5131925433984000000,uid___A002_Xed8123_X1b10,DA49,A033,Station_7,3.9e-05,0.00025699999999999996,-0.00031099999999999997,2.4e-05,2.5e-05,0.00018899999999999999,-9.4e-05,0.001032,7.49805,-3.4e-05,0.00018700000000000002,0.000357,2224995.224161,-5440073.176024,-2481713.361151,0.22
5132143143312000000,uid___A002_Xed9025_X637c,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5132203505472000000,uid___A002_Xed9025_X9c7d,DA49,A125,Station_6,-0.000221,-0.000407,-0.001551,4.5e-05,4.2e-05,0.000144,-0.000354,0.000368,7.496810000000001,-0.000805,0.001385,0.000229,2223799.932451,-5440242.374229,-2482324.997777,0.27
5132249410896000000,uid___A002_Xed9025_Xad36,DA49,A125,Station_6,-0.00022999999999999998,-0.000176,-0.000106,0.00010400000000000001,0.00011200000000000001,0.000722,-0.000363,0.000599,7.498255,-0.000275,6.7e-05,-0.000121,2223799.9329810003,-5440242.374229,-2482324.997777,1.02
5132305246032000000,uid___A002_Xed9025_Xe99c,DA49,A125,Station_6,0.000267,-0.0007509999999999999,-0.000586,0.000113,6.500000000000001e-05,0.000443,0.000134,2.4e-05,7.497775,-6.7e-05,0.0008710000000000001,-0.000463,2223799.933189,-5440242.374229,-2482324.997777,0.7
5132333981904000000,uid___A002_Xedbc85_X54a,DA49,A125,Station_6,-0.00017900000000000001,-0.000389,0.000194,7.3e-05,6.6e-05,0.000323,-0.000312,0.000386,7.4985550000000005,-0.000155,-9.300000000000001e-05,-0.000433,2223799.933101,-5440242.374229,-2482324.997777,0.58
5132390259408000000,uid___A002_Xedbc85_X451e,DA49,A125,Station_7,0.00021,-0.000295,-0.001052,0.000193,0.00014199999999999998,0.000889,7.7e-05,0.00047999999999999996,7.497309,-0.00021600000000000002,0.001083,0.00013700000000000002,2223799.93304,-5440242.374229,-2482324.997777,1.37
5132401964928000000,uid___A002_Xedbc85_X4f15,DA49,A125,Station_7,0.000131,-0.000371,-0.000188,3.3e-05,6.6e-05,0.000157,-2e-06,0.000404,7.4981729999999995,1e-06,0.000344,-0.000269,2223799.933257,-5440242.374229,-2482324.997777,0.34
5132420235120000000,uid___A002_Xedbc85_X6057,DA49,A125,Station_7,9.9e-05,-0.000433,-0.000386,4.8e-05,4e-05,0.00023700000000000001,-3.4e-05,0.000342,7.497975,-0.000106,0.000523,-0.00024900000000000004,2223799.93315,-5440242.374229,-2482324.997777,0.36
