time,uid,antname,padname,statnum,poserrX,poserrY,poserrZ,poserr()X,poserr()Y,poserr()Z,newposX,newposY,newposZ,geoerrX,geoerrY,geoerrZ,geoposX,geoposY,geoposZ,delayrms
5131848671952000000,uid___A002_Xed4607_X13266,PM01,A121,Station_45,-0.0004,0.0012490000000000001,0.002082,4.2e-05,7.4e-05,0.000185,-0.000589,0.001222,7.500101,0.00054,-0.0023769999999999998,0.00033999999999999997,2226160.422358,-5439676.322733,-2481419.064179,0.37
5131925433984000000,uid___A002_Xed8123_X1b10,PM01,A121,Station_41,-0.000344,0.0015689999999999999,0.0033159999999999995,3.6e-05,3.6e-05,0.000263,-0.000533,0.001542,7.501335000000001,0.00107,-0.003522,0.000156,2226160.422888,-5439676.322733,-2481419.064179,0.31
5132143143312000000,uid___A002_Xed9025_X637c,PM01,A121,Station_40,0.000148,0.0009369999999999999,0.002856,4.6e-05,0.000121,0.00028199999999999997,-4.1e-05,0.00091,7.500875,0.001271,-0.002716,-0.00024700000000000004,2226160.423089,-5439676.322733,-2481419.064179,0.51
5132203505472000000,uid___A002_Xed9025_X9c7d,PM01,A121,Station_45,-0.000299,0.001467,0.002305,4.2e-05,4e-05,0.000139,-0.000488,0.00144,7.500324000000001,0.0007440000000000001,-0.002606,0.000455,2226160.422562,-5439676.322733,-2481419.064179,0.26
5132249410896000000,uid___A002_Xed9025_Xad36,PM01,A121,Station_43,7.2e-05,0.001245,0.002407,7.3e-05,7.2e-05,0.000449,-0.000117,0.001218,7.500425999999999,0.00109,-0.002473,0.00021099999999999998,2226160.422908,-5439676.322733,-2481419.064179,0.69
5132305246032000000,uid___A002_Xed9025_Xe99c,PM01,A121,Station_39,-0.00020800000000000001,0.001037,0.0035189999999999996,0.000109,5.5e-05,0.00041799999999999997,-0.000397,0.00101,7.501538,0.001188,-0.003452,-0.000414,2226160.423006,-5439676.322733,-2481419.064179,0.58
5132333981904000000,uid___A002_Xedbc85_X54a,PM01,A121,Station_44,0.000143,0.0009,0.002977,9.300000000000001e-05,9e-05,0.000517,-4.6e-05,0.0008730000000000001,7.500996000000001,0.0013039999999999998,-0.0028079999999999997,-0.000328,2226160.423122,-5439676.322733,-2481419.064179,0.78
5132390259408000000,uid___A002_Xedbc85_X451e,PM01,A121,Station_38,-0.000535,0.0014759999999999999,0.0025039999999999997,0.00018600000000000002,0.000143,0.000775,-0.000724,0.001449,7.500522999999999,0.000596,-0.002869,0.000386,2226160.422414,-5439676.322733,-2481419.064179,1.33
5132401964928000000,uid___A002_Xedbc85_X4f15,PM01,A121,Station_38,-7.2e-05,0.001302,0.002813,4.8e-05,0.000129,0.000306,-0.000261,0.001275,7.500832000000001,0.0011070000000000001,-0.002895,0.000106,2226160.422925,-5439676.322733,-2481419.064179,0.57
5132420235120000000,uid___A002_Xedbc85_X6057,PM01,A121,Station_43,-0.000545,0.001184,0.0026969999999999997,2.9999999999999997e-05,2.4e-05,0.00013700000000000002,-0.000734,0.001157,7.500716000000001,0.000611,-0.002931,4.2e-05,2226160.422429,-5439676.322733,-2481419.064179,0.22
5132443327248000000,uid___A002_Xedbc85_X7b8f,PM01,A121,Station_41,-0.000185,0.001269,0.003015,3.4e-05,3.3e-05,0.00022400000000000002,-0.00037400000000000004,0.001242,7.501034,0.001068,-0.003097,-3e-06,2226160.422886,-5439676.322733,-2481419.064179,0.28
5132460615456000000,uid___A002_Xedbc85_X9082,PM01,A121,Station_41,-0.00018899999999999999,0.001637,0.003295,3.6e-05,4.7e-05,0.000167,-0.00037799999999999997,0.00161,7.501314,0.001216,-0.0034700000000000004,0.000226,2226160.423034,-5439676.322733,-2481419.064179,0.29
5132476354992000000,uid___A002_Xedbc85_Xa220,PM01,A121,Station_43,-0.00031,0.001208,0.002771,3.5e-05,2.3e-05,0.00011999999999999999,-0.000499,0.001181,7.500789999999999,0.000858,-0.002915,3.5e-05,2226160.422676,-5439676.322733,-2481419.064179,0.21
5132494331760000000,uid___A002_Xedbc85_Xac09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5132511239040000000,uid___A002_Xedbc85_Xc8f6,PM01,A121,Station_43,-0.000333,0.001689,0.002236,8.3e-05,0.0001,0.0003,-0.000522,0.001662,7.500255,0.000721,-0.00264,0.000686,2226160.422539,-5439676.322733,-2481419.064179,0.58
5132548382832000000,uid___A002_Xedbc85_Xe234,PM01,A121,Station_42,-0.00015800000000000002,0.00114,0.003011,4.2e-05,8.1e-05,0.000231,-0.00034700000000000003,0.001113,7.50103,0.001073,-0.003037,-0.000121,2226160.422891,-5439676.322733,-2481419.064179,0.49
5132675895024000000,uid___A002_Xede40d_X2246,PM01,A121,Station_44,-0.000379,0.001179,0.002736,4.2e-05,6.3e-05,0.00022999999999999998,-0.0005679999999999999,0.001152,7.500755000000001,0.0007769999999999999,-0.0029,2.2e-05,2226160.422595,-5439676.322733,-2481419.064179,0.37
5132682255840000000,uid___A002_Xede40d_X26d5,PM01,A121,Station_44,-0.000348,0.001146,0.0024519999999999998,4.6e-05,4.7e-05,0.000145,-0.000537,0.001119,7.500471000000001,0.0007019999999999999,-0.002635,0.000102,2226160.42252,-5439676.322733,-2481419.064179,0.3
5132717290176000000,uid___A002_Xede40d_X44f3,PM01,A121,Station_43,-0.00023700000000000001,0.001452,0.002579,4.7e-05,6.3e-05,0.00023199999999999997,-0.000426,0.001425,7.500597999999999,0.000895,-0.0028120000000000003,0.000335,2226160.4227130003,-5439676.322733,-2481419.064179,0.39
5132758485360000000,uid___A002_Xede40d_X5571,PM01,A121,Station_42,-1.3000000000000001e-05,0.001907,0.001546,0.000285,0.000305,0.000842,-0.000202,0.0018800000000000002,7.499565,0.000808,-0.002009,0.0011560000000000001,2226160.422626,-5439676.322733,-2481419.064179,1.33
5132768447472000000,uid___A002_Xede40d_X5d37,PM01,A121,Station_45,-0.000583,0.001535,0.001124,0.000547,0.000612,0.001801,-0.000772,0.001508,7.499142999999999,7.900000000000001e-05,-0.001731,0.000977,2226160.421897,-5439676.322733,-2481419.064179,3.66
5132838833232000000,uid___A002_Xede40d_X886f,PM01,A121,Station_46,-0.000932,0.001008,0.001698,0.000517,0.00044500000000000003,0.001603,-0.001121,0.000981,7.4997169999999995,-0.000122,-0.002164,0.000268,2226160.421696,-5439676.322733,-2481419.064179,2.66
5132852334960000000,uid___A002_Xede40d_X9662,PM01,A121,Station_43,0.00028399999999999996,0.001073,0.0035189999999999996,0.00024300000000000002,0.000278,0.001557,9.499999999999999e-05,0.001046,7.501538,0.0016489999999999999,-0.003279,-0.00037999999999999997,2226160.423467,-5439676.322733,-2481419.064179,2.43
5133025552320000000,uid___A002_Xee01ae_X372,PM01,A121,Station_42,-6.4e-05,0.0009710000000000001,0.002414,8.3e-05,8.8e-05,0.000465,-0.00025299999999999997,0.000944,7.500433,0.000926,-0.002432,-4.4e-05,2226160.422744,-5439676.322733,-2481419.064179,0.78
5133063553488000000,uid___A002_Xee01ae_X1377,PM01,A121,Station_42,1.3000000000000001e-05,0.0017280000000000002,0.0008380000000000001,8.2e-05,9.6e-05,0.00031600000000000004,-0.000176,0.0017010000000000003,7.498857000000001,0.000559,-0.0013310000000000002,0.001266,2226160.422377,-5439676.322733,-2481419.064179,0.58
5133113744016000000,uid___A002_Xee01ae_X2220,PM01,A121,Station_45,-0.000608,0.001301,0.001234,0.0001,0.000133,0.00033999999999999997,-0.000797,0.001274,7.4992529999999995,5.9999999999999995e-05,-0.0017510000000000002,0.000718,2226160.421878,-5439676.322733,-2481419.064179,0.74
5133156007344000000,uid___A002_Xee01ae_X48ab,PM01,A121,Station_42,-0.00025699999999999996,0.001289,0.001857,0.00011399999999999999,0.000124,0.00041,-0.000446,0.0012619999999999999,7.4998759999999995,0.0006,-0.0021449999999999998,0.000465,2226160.422418,-5439676.322733,-2481419.064179,0.76
5133248653920000000,uid___A002_Xee1748_X2897,PM01,A121,Station_38,0.00045700000000000005,0.000981,0.002025,0.0001,7.099999999999999e-05,0.000292,0.000268,0.0009539999999999999,7.500044,0.001274,-0.001907,0.00011599999999999999,2226160.4230919997,-5439676.322733,-2481419.064179,0.61
5133266906784000000,uid___A002_Xee1eb6_X74a,PM01,A121,Station_42,-6.2e-05,0.001338,0.002202,0.00025699999999999996,0.00023199999999999997,0.000727,-0.000251,0.0013109999999999999,7.500221000000001,0.000908,-0.0023829999999999997,0.000376,2226160.4227259997,-5439676.322733,-2481419.064179,1.4
5133287357040000000,uid___A002_Xee1eb6_X1864,PM01,A121,Station_43,-8.3e-05,0.001564,0.002475,7.099999999999999e-05,7.6e-05,0.000217,-0.000272,0.001537,7.500494000000001,0.001017,-0.002705,0.000478,2226160.422835,-5439676.322733,-2481419.064179,0.47
5133355986816000000,uid___A002_Xee1eb6_X52fb,PM01,A121,Station_44,-0.00044500000000000003,0.000493,0.001261,5.3e-05,4.4e-05,0.000174,-0.000634,0.000466,7.499280000000001,0.000101,-0.001422,-3.7e-05,2226160.423122,-5439676.324592,-2481419.06374,0.28
5133408486480000000,uid___A002_Xee1eb6_Xb4f8,PM01,A121,Station_45,-0.000616,0.0006,0.000926,4.1e-05,5e-05,0.000188,-0.000805,0.000573,7.498945,-0.00015900000000000002,-0.001239,0.000192,2226160.422862,-5439676.324592,-2481419.06374,0.31
5133422873328000000,uid___A002_Xee1eb6_Xc2a1,PM01,A121,Station_39,-0.001019,0.000356,0.0010279999999999998,5.4000000000000005e-05,4.9e-05,0.00022,-0.001208,0.00032900000000000003,7.499047,-0.000532,-0.001391,-7.2e-05,2226160.422489,-5439676.324592,-2481419.06374,0.42
5133435746544000000,uid___A002_Xee1eb6_Xcff0,PM01,A121,Station_42,-0.0018559999999999998,0.0007099999999999999,-0.003192,0.00045,0.0009519999999999999,0.0022440000000000003,-0.002045,0.000683,7.494827000000001,-0.002727,0.0017629999999999998,0.0018960000000000001,2226160.420294,-5439676.324592,-2481419.06374,4.64
5133451344912000000,uid___A002_Xee1eb6_Xdc89,PM01,A121,Station_43,0.00016999999999999999,0.000808,0.0011070000000000001,0.000491,0.00081,0.0026780000000000003,-1.9e-05,0.000781,7.4991259999999995,0.000663,-0.00117,0.000314,2226160.423684,-5439676.324592,-2481419.06374,4.45
